filename,turn,iteration,args_json,runtime_s,output_20
023e9d44-96ae-4eed-b912-244ee8c3b994_tools.csv,0,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Los Angeles to Cincinnati distance I-40""}",2.3211,{'server_name': 'too
023e9d44-96ae-4eed-b912-244ee8c3b994_tools.csv,1,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Cincinnati to Augusta Maine distance I-90""}",1.7373,{'server_name': 'too
023e9d44-96ae-4eed-b912-244ee8c3b994_tools.csv,2,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Cincinnati to Augusta\"" \""I-90\"" \""Maine\""""}",1.4468,{'server_name': 'too
023e9d44-96ae-4eed-b912-244ee8c3b994_tools.csv,6,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Los Angeles to Cincinnati Wikipedia distance""}",1.7720,{'server_name': 'too
023e9d44-96ae-4eed-b912-244ee8c3b994_tools.csv,12,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Los Angeles to Cincinnati I-40 distance site:wikipedia.org""}",1.4759,{'server_name': 'too
023e9d44-96ae-4eed-b912-244ee8c3b994_tools.csv,13,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Cincinnati to Augusta Maine I-90 distance site:wikipedia.org""}",1.4152,{'server_name': 'too
023e9d44-96ae-4eed-b912-244ee8c3b994_tools.csv,14,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Barstow California to Los Angeles distance Wikipedia""}",1.8114,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,0,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""Replit VSCode blog post 2018 remove extra lines command last video""}",1.5191,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,1,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""site:blog.replit.com vscode 2018 intel""}",1.4311,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,3,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""web.archive.org 2018 blog.replit.com/intel""}",1.8193,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,5,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""\""Zero Setup VSCode Intelligence\"" video""}",1.4947,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,7,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""\""remove extra lines\"" \""Replit\"" VSCode""}",1.8070,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,9,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""\""VSCode blog post on replit.com\"" \""remove extra lines\""""}",1.4863,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,10,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""\""what was the command they clicked\"" \""Replit\"" \""VSCode\""""}",1.6425,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,11,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""\""visual_vs_text_browser.ipynb\"" \""replit\""""}",1.4366,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,16,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""\""Zero Setup VSCode Intelligence\"" \""remove extra lines\""""}",1.4914,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,18,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""\""Zero Setup VSCode Intelligence\"" \""video\""""}",1.6018,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,19,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""https://webcache.googleusercontent.com/search?q=blog.replit.com/intel+video""}",2.2640,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,22,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""blog.replit.com/intel 2018-07-02""}",1.5369,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,26,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""\""remove extra lines\"" \""Format Document\"" VSCode""}",1.4957,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,27,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""\""Remove Extra Lines\"" VSCode command""}",1.5402,{'server_name': 'too
05407167-39ec-4d3a-a234-73a9120c325d_tools.csv,32,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""page"": 1, ""q"": ""\""Zero Setup VSCode Intelligence\"" July 1 2018""}",1.5118,{'server_name': 'too
08cae58d-4084-4616-b6dd-dd6534e4825b_tools.csv,0,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Apple stock first time above $50 unadjusted Google Finance""}",1.7291,{'server_name': 'too
08cae58d-4084-4616-b6dd-dd6534e4825b_tools.csv,2,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Apple\"" \""unadjusted\"" \""Google Finance\"" \""50\"" \""July 2019\""""}",1.5267,{'server_name': 'too
08cae58d-4084-4616-b6dd-dd6534e4825b_tools.csv,3,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""first time\"" Apple stock closed above $50 Google Finance""}",1.7012,{'server_name': 'too
08cae58d-4084-4616-b6dd-dd6534e4825b_tools.csv,5,1,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Google Finance AAPL historical data csv""}",1.5481,{'server_name': 'too
