turn,tool_name,args_json
0,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Los Angeles to Cincinnati distance I-40""}"
1,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Cincinnati to Augusta Maine distance I-90""}"
2,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Cincinnati to Augusta\"" \""I-90\"" \""Maine\""""}"
3,scrape_and_extract_info,"{""info_to_extract"": ""Find the length of Interstate 40 (not US Route 40), and any mention of its endpoints, major cities, and distance from Los Angeles to Cincinnati along I-40."", ""url"": ""https://en.wikipedia.org/wiki/U.S._Route_40""}"
4,scrape_and_extract_info,"{""info_to_extract"": ""Find the total length of Interstate 40, and any mention of its endpoints and major cities along the route, and especially the distance from Los Angeles (or its western terminus near Los Angeles) to Cincinnati, Ohio."", ""url"": ""https://en.wikipedia.org/wiki/Interstate_40""}"
5,scrape_and_extract_info,"{""info_to_extract"": ""Find the deposit amount for water bottles in the state of Maine (in dollars)."", ""url"": ""https://en.wikipedia.org/wiki/Container_deposit""}"
6,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Los Angeles to Cincinnati Wikipedia distance""}"
7,scrape_and_extract_info,"{""info_to_extract"": ""Find a list of distances from Cincinnati to other cities, specifically to Los Angeles and to Augusta, Maine."", ""url"": ""https://en.wikipedia.org/wiki/Cincinnati""}"
8,scrape_and_extract_info,"{""info_to_extract"": ""Find the distance from Augusta, Maine to Cincinnati, Ohio."", ""url"": ""https://en.wikipedia.org/wiki/Augusta,_Maine""}"
9,scrape_and_extract_info,"{""info_to_extract"": ""Find the total length of Interstate 90 and any mention of its endpoints, and the distance from its western terminus to its eastern terminus, plus any major cities along its route (especially near Cincinnati, Ohio and near Augusta, Maine)."", ""url"": ""https://en.wikipedia.org/wiki/Interstate_90""}"
10,scrape_and_extract_info,"{""info_to_extract"": ""Find the length of U.S. Route 40 and the distance between Los Angeles and Cincinnati along this route, if any, also distance from Cincinnati to Augusta, Maine."", ""url"": ""https://en.wikipedia.org/wiki/U.S._Route_40""}"
11,scrape_and_extract_info,"{""info_to_extract"": ""Find the western and eastern termini of U.S. Route 40."", ""url"": ""https://en.wikipedia.org/wiki/U.S._Route_40""}"
12,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Los Angeles to Cincinnati I-40 distance site:wikipedia.org""}"
13,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Cincinnati to Augusta Maine I-90 distance site:wikipedia.org""}"
14,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Barstow California to Los Angeles distance Wikipedia""}"
15,scrape_and_extract_info,"{""info_to_extract"": ""Find the length of Interstate 40 in California and the milepost location of its western terminus near Los Angeles."", ""url"": ""https://en.wikipedia.org/wiki/Interstate_40_in_California""}"
16,scrape_and_extract_info,"{""info_to_extract"": ""Find the distance along I-90 in Ohio, and the nearest exit or major city to Cincinnati, Ohio."", ""url"": ""https://en.wikipedia.org/wiki/Interstate_90_in_Ohio""}"
