turn,tool_name,args_json
0,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 5, ""q"": ""World Bank API country list 2023""}"
1,create_sandbox,{}
2,run_python_code,"{""code_block"": ""import json, urllib.request, urllib.parse, sys, ssl\n# Allow HTTPS connections (in case of SSL verification issues)\ncontext = ssl._create_unverified_context()\nurl = 'https://api.worldbank.org/v2/country?format=json&per_page=3000'\nwith urllib.request.urlopen(url, context=context) as response:\n    data = response.read().decode('utf-8')\n# Parse JSON\nobj = json.loads(data)\nprint('type', type(obj))\nprint('length pages', len(obj))\npage_info, countries = obj\nprint('Page page', page_info.get('page'), 'pageCount', page_info.get('pageCount'))\nprint('Total countries', len(countries))\n# Show first few countries\nfor i, country in enumerate(countries[:10]):\n    print(i, country['id'], country['value'], country.get('region'))\n"", ""sandbox_id"": ""ic2artdkalvjt09nhefgv-6532622b""}"
3,run_python_code,"{""code_block"": ""import json, urllib.request, ssl, sys\nurl = 'https://api.worldbank.org/v2/country?format=json&per_page=3000'\nwith urllib.request.urlopen(url, context=ssl._create_unverified_context()) as response:\n    data = response.read().decode('utf-8')\nobj = json.loads(data)\ncountries = obj[1]\nfirst = countries[0]\nprint('first iso2', first['id'])\nprint('first keys', list(first.keys()))\n"", ""sandbox_id"": ""ic2artdkalvjt09nhefgv-6532622b""}"
4,run_python_code,"{""code_block"": ""import json, urllib.request, ssl\nurl = 'https://api.worldbank.org/v2/country?format=json&per_page=3000'\nwith urllib.request.urlopen(url, context=ssl._create_unverified_context()) as response:\n    data = response.read().decode('utf-8')\nobj = json.loads(data)\ncountries = obj[1]\n# Print info for Afghanistan\nfor c in countries:\n    if c['name'] == 'Afghanistan':\n        print('iso2', c['iso2Code'], 'name', c['name'])\n        break\n"", ""sandbox_id"": ""ic2artdkalvjt09nhefgv-6532622b""}"
5,run_python_code,"{""code_block"": ""import json, urllib.request, ssl\nurl = 'https://api.worldbank.org/v2/country?format=json&per_page=3000'\nwith urllib.request.urlopen(url, context=ssl._create_unverified_context()) as response:\n    data = response.read().decode('utf-8')\nobj = json.loads(data)\ncountries = obj[1]\n# Let's see if iso3Code present\nsample = countries[0]\nprint('sample keys', sample.keys())\nprint('has iso3?', 'iso3Code' in sample)\nprint('iso3Code value?', sample.get('iso3Code') if 'iso3Code' in sample else 'no')\n"", ""sandbox_id"": ""ic2artdkalvjt09nhefgv-6532622b""}"
6,run_python_code,"{""code_block"": ""import json, urllib.request, ssl\nurl = 'https://api.worldbank.org/v2/indicator/NY.GNS.ICTR.ZS?format=json&per_page=100'\nwith urllib.request.urlopen(url, context=ssl._create_unverified_context()) as resp:\n    data = resp.read().decode('utf-8')\nobj = json.loads(data)\n# obj[0] is metadata, obj[1] is list of observations\nprint('metadata', obj[0])\n# Print first 10 observations\nfor obs in obj[1][:10]:\n    country = obs['country']\n    print('country', country)\n    print('year', obs['date'], 'value', obs['value'])\n    break\n"", ""sandbox_id"": ""ic2artdkalvjt09nhefgv-6532622b""}"
7,run_python_code,"{""code_block"": ""import json, urllib.request, ssl\nurl = 'https://api.worldbank.org/v2/indicator/NY.GNS.ICTR.ZS?format=json&per_page=200'\nwith urllib.request.urlopen(url, context=ssl._create_unverified_context()) as resp:\n    data = resp.read().decode('utf-8')\nobj = json.loads(data)\nobs = obj[1][0]\nprint('obs keys', list(obs.keys()))\nprint('obs sample', obs)\n"", ""sandbox_id"": ""ic2artdkalvjt09nhefgv-6532622b""}"
8,run_python_code,"{""code_block"": ""import json, urllib.request, ssl\nurl = 'https://api.worldbank.org/v2/indicator/NY.GNS.ICTR.ZS?format=json&per_page=500'\nwith urllib.request.urlopen(url, context=ssl._create_unverified_context()) as resp:\n    data = resp.read().decode('utf-8')\nobj = json.loads(data)\nprint('len obj[1]', len(obj[1]))\n# Print first few items of obj[1]\nfor i, entry in enumerate(obj[1][:10]):\n    print(i, entry)\n"", ""sandbox_id"": ""ic2artdkalvjt09nhefgv-6532622b""}"
9,run_python_code,"{""code_block"": ""import json, urllib.request, ssl\nurl = 'https://api.worldbank.org/v2/indicator/NY.GNS.ICTR.ZS?page=2&per_page=5000?format=json'\n# Note: the page param should be before other query? Actually need correct ordering.\n"", ""sandbox_id"": ""ic2artdkalvjt09nhefgv-6532622b""}"
10,run_python_code,"{""code_block"": ""import json, urllib.request, ssl\nurl = 'https://api.worldbank.org/v2/indicator/NY.GNS.ICTR.ZS?format=json&per_page=5000&page=2'\nwith urllib.request.urlopen(url, context=ssl._create_unverified_context()) as resp:\n    data = resp.read().decode('utf-8')\nobj = json.loads(data)\nprint('len list', len(obj[1]))\nprint('first 5 entries', obj[1][:5])\n"", ""sandbox_id"": ""ic2artdkalvjt09nhefgv-6532622b""}"
