turn,tool_name,args_json
0,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Amphiprion ocellaris USGS nonnative species zip code""}"
1,scrape_and_extract_info,"{""info_to_extract"": ""Extract any location details (including ZIP codes) of non-native occurrences of Amphiprion ocellaris"", ""url"": ""https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=3243""}"
2,scrape_and_extract_info,"{""info_to_extract"": ""Return the JSON content (or list all records) for Amphiprion ocellaris non-native occurrences"", ""url"": ""https://nas.er.usgs.io/api/v2/occurrence/search?species_ID=3243&max=100""}"
3,scrape_and_extract_info,"{""info_to_extract"": ""Return the JSON content (or list all records) for Amphiprion ocellaris non-native occurrences"", ""url"": ""https://nas.er.usgs.gov/api/v2/occurrence/search?species_ID=3243&max=100""}"
4,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Fred Howard Park Tarpon Springs FL address zip code""}"
5,scrape_and_extract_info,"{""info_to_extract"": ""Extract location information including ZIP code for the non-native occurrence of Amphiprion ocellaris"", ""url"": ""https://nas.er.usgs.gov/viewer/omap.aspx?SpeciesID=3243""}"
6,scrape_and_extract_info,"{""info_to_extract"": ""Extract the ZIP code from the official Fred Howard Park page"", ""url"": ""https://pinellas.gov/parks/fred-howard-park/""}"
7,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 20, ""q"": ""\""Amphiprion ocellaris\"" \""USGS\"" \""nonindigenous\"" \""Occurrence\""""}"
8,scrape_and_extract_info,"{""info_to_extract"": ""Extract all references/occurrence entries that include location details for non-native Amphiprion ocellaris"", ""url"": ""https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=3243""}"
9,scrape_and_extract_info,"{""info_to_extract"": ""Extract any ZIP code field from the occurrence detail page"", ""url"": ""https://nas.er.usgs.gov/queries/occurrence.aspx?ID=1468741""}"
10,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""nas.er.usgs.gov occurrence ID page""}"
11,scrape_and_extract_info,"{""info_to_extract"": ""Find description of fields returned for occurrence search, looking for ZIP code"", ""url"": ""https://nas.er.usgs.gov/api/documentation.aspx""}"
12,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Fred Howard Park\"" \""USGS\"" \""34689\""""}"
13,scrape_and_extract_info,"{""info_to_extract"": ""Search for mention of Fred Howard Park and zip code in this document"", ""url"": ""https://openreview.net/pdf?id=quJdphBcdP""}"
14,scrape_and_extract_info,"{""info_to_extract"": ""Extract references for Amphiprion ocellaris and see if any include ZIP code info"", ""url"": ""https://nas.er.usgs.gov/queries/references/ReferenceListCutPaste.aspx?speciesID=793""}"
15,scrape_and_extract_info,"{""info_to_extract"": ""Extract references for Amphiprion ocellaris"", ""url"": ""https://nas.er.usgs.gov/queries/references/ReferenceListCutPaste.aspx?speciesID=3243""}"
16,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Fred Howard Park\"" \""1700 Sunset Dr\"" \""zip\""""}"
17,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 20, ""q"": ""\""clown anemonefish\"" \""nonindigenous\"" \""USGS\"" \""Florida\""""}"
18,scrape_and_extract_info,"{""info_to_extract"": ""Extract the table of states with nonindigenous occurrences for Amphiprion ocellaris"", ""url"": ""https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=3243""}"
