turn,tool_name,args_json
0,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""label:\""Regression\"" numpy/polynomial site:github.com/numpy/numpy/issues""}"
1,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 20, ""q"": ""repo:numpy/numpy label:\""Regression\"" polynomial is:closed""}"
2,scrape_and_extract_info,"{""info_to_extract"": ""Extract the list of issue numbers, titles, and any indication of mention of numpy.polynomial in the snippet or title, for the first few pages of results"", ""url"": ""https://github.com/numpy/numpy/issues?q=is%3Aclosed+label%3A\""Regression\""""}"
3,scrape_and_extract_info,"{""info_to_extract"": ""Extract list of closed issues with the Regression label, including their issue numbers and titles, and any mentions of numpy.polynomial"", ""url"": ""https://github.com/numpy/numpy/labels/Regression""}"
4,scrape_and_extract_info,"{""info_to_extract"": ""Extract all labels and the date the Regression label was added (look at the events timeline if possible, especially the label addition for Regression)"", ""url"": ""https://github.com/numpy/numpy/issues/22669""}"
5,scrape_and_extract_info,"{""info_to_extract"": ""Extract the creation date, close date (if closed), and any references to numpy.polynomial files"", ""url"": ""https://github.com/numpy/numpy/issues/22669""}"
6,scrape_and_extract_info,"{""info_to_extract"": ""Extract the list of all closed issues with the Regression label, including issue numbers and titles"", ""url"": ""https://github.com/numpy/numpy/labels/Regression?state=closed""}"
7,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""06 - Regression\"" \""numpy/polynomial\"" site:github.com/numpy/numpy/issues""}"
8,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""_polybase.py\"" Regression site:github.com/numpy/numpy/issues""}"
9,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 20, ""q"": ""\""numpy/polynomial\"" Regression site:github.com/numpy/numpy/issues""}"
10,scrape_and_extract_info,"{""info_to_extract"": ""Extract the labels and the date the Regression label was added, and whether the issue is closed"", ""url"": ""https://github.com/numpy/numpy/issues/22104""}"
11,scrape_and_extract_info,"{""info_to_extract"": ""List all labels on the issue, and include the date each label was added if possible"", ""url"": ""https://github.com/numpy/numpy/issues/22104""}"
12,scrape_and_extract_info,"{""info_to_extract"": ""Extract the labels and whether Regression label is present"", ""url"": ""https://github.com/numpy/numpy/issues/13602""}"
13,scrape_and_extract_info,"{""info_to_extract"": ""Extract the labels"", ""url"": ""https://github.com/numpy/numpy/issues/11732""}"
14,scrape_and_extract_info,"{""info_to_extract"": ""Extract the labels"", ""url"": ""https://github.com/numpy/numpy/issues/24497""}"
15,scrape_and_extract_info,"{""info_to_extract"": ""Extract the labels"", ""url"": ""https://github.com/numpy/numpy/issues/25724""}"
16,scrape_and_extract_info,"{""info_to_extract"": ""Extract the labels"", ""url"": ""https://github.com/numpy/numpy/issues/26843""}"
17,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""#22104 Regression label numpy""}"
18,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 20, ""q"": ""\""component: numpy.polynomial\"" \""Regression\"" site:github.com/numpy/numpy/issues""}"
19,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 20, ""q"": ""label:\""Regression\"" \""numpy.polynomial\""""}"
20,scrape_and_extract_info,"{""info_to_extract"": ""Extract the list of issues (number and title) from the GitHub API search results"", ""url"": ""https://api.github.com/search/issues?q=repo:numpy/numpy+label:\""Regression\""+type:issue+state:closed""}"
21,scrape_and_extract_info,"{""info_to_extract"": ""List all issues with label 06 - Regression"", ""url"": ""https://api.github.com/search/issues?q=repo:numpy/numpy+label:\""06 - Regression\""+type:issue+state:closed""}"
22,scrape_and_extract_info,"{""info_to_extract"": ""Extract the label information for issue #22669"", ""url"": ""https://api.github.com/issues/22669""}"
23,scrape_and_extract_info,"{""info_to_extract"": ""Extract labels and timeline"", ""url"": ""https://api.github.com/repos/numpy/numpy/issues/22669""}"
24,scrape_and_extract_info,"{""info_to_extract"": ""List all events with their performed_at timestamps, especially the event where the Regression label was added"", ""url"": ""https://api.github.com/repos/numpy/numpy/issues/22669/events""}"
25,scrape_and_extract_info,"{""info_to_extract"": ""List issues with label Regression"", ""url"": ""https://api.github.com/search/issues?q=repo:numpy/numpy+label:\""Regression\""+type:issue+state:closed""}"
