turn,tool_name,args_json
0,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""World of Warcraft class ability Metamorphosis which class""}"
1,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Kilt of the Forgotten One\"" WoW""}"
2,scrape_and_extract_info,"{""info_to_extract"": ""Find the class restrictions for the Kilt of the Forgotten One, which classes can equip it"", ""url"": ""https://wowpedia.fandom.com/wiki/Kilt_of_the_Forgotten_One""}"
3,scrape_and_extract_info,"{""info_to_extract"": ""class restrictions"", ""url"": ""https://www.wowhead.com/item=127627/kilt-of-the-forgotten-one""}"
4,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Kilt of the Forgotten One\"" class restriction Druid""}"
5,scrape_and_extract_info,"{""info_to_extract"": ""List the classes that can equip the Kilt of the Forgotten One and any version-specific differences"", ""url"": ""https://wowpedia.fandom.com/wiki/Kilt_of_the_Forgotten_One""}"
6,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Kilt of the Forgotten One\"" WoW Classic class""}"
7,scrape_and_extract_info,"{""info_to_extract"": ""Class restrictions"", ""url"": ""https://www.wowhead.com/item=37616/kilt-of-the-forgotten-one""}"
8,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""37616 Kilt of the Forgotten One""}"
9,scrape_and_extract_info,"{""info_to_extract"": ""Class restrictions"", ""url"": ""https://www.wowhead.com/wotlk/item=37616/kilt-of-the-forgotten-one""}"
10,scrape_and_extract_info,"{""info_to_extract"": ""Class restrictions"", ""url"": ""https://warcraft.wiki.gg/wiki/Kilt_of_the_Forgotten_One""}"
11,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Warlock Metamorphosis ability WoW""}"
12,scrape_and_extract_info,"{""info_to_extract"": ""Describe the Metamorphosis warlock ability and its version"", ""url"": ""https://warcraft.wiki.gg/wiki/Metamorphosis_(warlock_ability)""}"
13,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Kilt of the Forgotten One\"" \""retail\"" class restriction""}"
14,scrape_and_extract_info,"{""info_to_extract"": ""Class restriction"", ""url"": ""https://www.wowhead.com/item=127627/kilt-of-the-forgotten-one""}"
15,scrape_and_extract_info,"{""info_to_extract"": ""Gender requirement"", ""url"": ""https://www.wowhead.com/item=37616/kilt-of-the-forgotten-one?preview=info""}"
16,scrape_and_extract_info,"{""info_to_extract"": ""full item info"", ""url"": ""https://www.wowhead.com/item=37616/kilt-of-the-forgotten-one""}"
