turn,tool_name,args_json
0,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""MBTA Franklin-Foxboro line stations South Station Windsor Gardens""}"
1,scrape_and_extract_info,"{""info_to_extract"": ""list all stations on the Franklin-Foxboro line in order, or give the order of stations around Windsor Gardens"", ""url"": ""https://massbytrain.com/stations/windsor-gardens/""}"
2,scrape_and_extract_info,"{""info_to_extract"": ""Find the neighboring stations on the Franklin/Foxboro line for Windsor Gardens station"", ""url"": ""https://en.wikipedia.org/wiki/Windsor_Gardens_station""}"
3,scrape_and_extract_info,"{""info_to_extract"": ""Find the neighboring stations on the Franklin/Foxboro line for Norwood Central station"", ""url"": ""https://en.wikipedia.org/wiki/Norwood_Central_station""}"
4,scrape_and_extract_info,"{""info_to_extract"": ""Find the neighboring stations on the Franklin/Foxboro line for Walpole station"", ""url"": ""https://en.wikipedia.org/wiki/Walpole_station""}"
5,scrape_and_extract_info,"{""info_to_extract"": ""Find the list of stations on the Franklin/Foxboro line that Walpole station is on, including the immediate preceding and following stations"", ""url"": ""https://en.wikipedia.org/wiki/Walpole_station""}"
6,scrape_and_extract_info,"{""info_to_extract"": ""List all stations on the Franklin/Foxboro line in order from South Station to the northern terminus"", ""url"": ""https://en.wikipedia.org/wiki/Franklin\u2013Foxboro_line""}"
7,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""Franklin/Foxboro line Wikipedia""}"
8,scrape_and_extract_info,"{""info_to_extract"": ""Extract the complete ordered list of stations on the Franklin/Foxboro Line"", ""url"": ""https://en.wikipedia.org/wiki/Franklin/Foxboro_Line""}"
9,scrape_and_extract_info,"{""info_to_extract"": ""List the stations on the Franklin/Foxboro line in order from South Station"", ""url"": ""https://www.mbta.com/schedules/CR-Franklin/""}"
10,scrape_and_extract_info,"{""info_to_extract"": ""Find the neighboring stations for Norwood Depot station on the Franklin/Foxboro line"", ""url"": ""https://en.wikipedia.org/wiki/Norwood_Depot_station""}"
11,scrape_and_extract_info,"{""info_to_extract"": ""Find the neighboring stations for Norfolk station on the Franklin/Foxboro line"", ""url"": ""https://en.wikipedia.org/wiki/Norfolk_station_(Massachusetts)""}"
12,scrape_and_extract_info,"{""info_to_extract"": ""Extract the infobox details for Windsor Gardens station"", ""url"": ""https://en.wikipedia.org/wiki/Windsor_Gardens_station""}"
13,scrape_and_extract_info,"{""info_to_extract"": ""Extract the 'Preceding station' and 'Following station' fields from the infobox for Windsor Gardens station"", ""url"": ""https://en.wikipedia.org/wiki/Windsor_Gardens_station""}"
14,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Windsor Gardens\"" \""preceding station\"" Walpole""}"
15,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Back Bay\"" \""preceding station\"" MBTA Franklin""}"
16,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Preceding station\"" \""Franklin/Foxboro Line\""""}"
17,scrape_and_extract_info,"{""info_to_extract"": ""Extract the infobox 'Preceding station' and 'Following station' fields for Norwood Depot station"", ""url"": ""https://en.wikipedia.org/wiki/Norwood_Depot""}"
18,scrape_and_extract_info,"{""info_to_extract"": ""Extract the infobox details including direction labels for the preceding and following stations for Norwood Depot station"", ""url"": ""https://en.wikipedia.org/wiki/Norwood_Depot""}"
19,scrape_and_extract_info,"{""info_to_extract"": ""Extract the infobox details including direction labels for preceding and following stations for Norwood Central station"", ""url"": ""https://en.wikipedia.org/wiki/Norwood_Central_station""}"
20,scrape_and_extract_info,"{""info_to_extract"": ""Provide the full infobox table text for the Norwood Central station page"", ""url"": ""https://en.wikipedia.org/wiki/Norwood_Central_station""}"
21,google_search,"{""gl"": ""us"", ""hl"": ""en"", ""num"": 10, ""q"": ""\""Norwood Central\"" \""Preceding station\"" \""Windsor Gardens\""""}"
