source_file,solved
L1_0_0_0404,False
L1_0_0_0409,False
L1_0_0_0412,False
L1_10_0_0404,True
L1_11_0_0404,True
L1_12_0_0404,True
L1_13_0_0521,False
L1_13_1_0521,False
L1_14_0_0404,False
L1_14_0_0409,True
L1_15_0_0404,False
L1_15_0_0409,True
L1_16_0_0410,False
L1_16_1_0410,False
L1_16_1_0514,False
L1_17_0_0409,False
L1_17_0_0412,False
L1_18_0_0404,True
L1_19_0_0404,True
L1_1_0_0404,True
L1_20_0_0404,True
L1_21_0_0410,False
L1_21_1_0410,False
L1_22_0_0410,True
L1_23_0_0404,True
L1_24_0_0410,True
L1_25_0_0404,True
L1_26_0_0410,True
L1_27_0_0410,True
L1_28_0_0404,True
L1_29_0_0404,False
L1_29_0_0409,True
L1_2_0_0404,False
L1_2_0_0409,True
L1_2_1_0404,False
L1_30_0_0410,False
L1_30_1_0410,False
L1_31_0_0404,False
L1_31_0_0409,False
L1_31_0_0412,False
L1_32_0_0404,True
L1_33_0_0410,True
L1_34_0_0410,True
L1_35_0_0404,True
L1_36_0_0404,True
L1_37_0_0404,True
L1_38_0_0404,False
L1_38_0_0409,False
L1_39_0_0404,False
L1_39_0_0409,False
L1_39_0_0412,False
L1_3_0_0404,True
L1_40_0_0404,False
L1_40_0_0409,True
L1_41_1_0521,True
L1_42_0_0404,False
L1_42_0_0412,False
L1_43_0_0404,False
L1_43_0_0409,True
L1_44_0_0410,True
L1_45_0_0404,False
L1_46_0_0404,False
L1_46_0_0409,False
L1_46_0_0412,False
L1_47_0_0404,False
L1_47_0_0409,False
L1_47_0_0412,False
L1_48_0_0404,False
L1_48_0_0409,True
L1_49_0_0404,True
L1_4_0_0410,True
L1_50_0_0521,False
L1_50_1_0521,False
L1_51_0_0410,True
L1_52_1_0521,True
L1_5_0_0404,False
L1_5_0_0409,False
L1_5_0_0412,False
L1_6_0_0404,True
L1_7_0_0410,True
L1_8_0_0404,True
L1_9_0_0410,False
L1_9_1_0410,False
L2_0_0_0410,True
L2_0_0_0412,False
L2_10_0_0410,False
L2_10_1_0410,False
L2_11_0_0404,True
L2_12_0_0410,False
L2_12_1_0410,False
L2_13_0_0404,False
L2_13_0_0409,True
L2_13_1_0404,False
L2_14_1_0521,True
L2_15_0_0404,True
L2_15_1_0404,True
L2_16_0_0410,False
L2_16_1_0410,False
L2_17_0_0521,False
L2_17_1_0521,False
L2_18_0_0404,False
L2_18_0_0409,False
L2_18_0_0412,False
L2_19_0_0410,False
L2_19_1_0410,False
L2_1_0_0404,True
L2_20_0_0404,True
L2_20_0_0412,False
L2_21_0_0404,False
L2_21_0_0409,False
L2_21_0_0412,True
L2_22_0_0521,False
L2_22_1_0521,False
L2_23_0_0409,False
L2_23_2_0404,False
L2_24_0_0409,False
L2_24_0_0412,True
L2_24_2_0404,False
L2_25_0_0409,False
L2_25_2_0404,False
L2_26_0_0410,False
L2_26_1_0410,False
L2_27_0_0410,False
L2_27_1_0410,True
L2_28_1_0521,True
L2_29_2_0404,True
L2_2_0_0404,False
L2_2_0_0409,False
L2_2_0_0412,False
L2_30_0_0410,False
L2_30_1_0410,False
L2_31_2_0404,True
L2_32_0_0409,False
L2_32_2_0404,False
L2_33_0_0409,False
L2_33_2_0404,False
L2_34_0_0410,False
L2_34_0_0412,False
L2_34_1_0410,False
L2_35_0_0410,True
L2_36_0_0404,False
L2_36_0_0409,False
L2_36_0_0412,False
L2_37_0_0409,False
L2_37_0_0412,True
L2_37_1_0404,False
L2_37_2_0404,False
L2_38_0_0410,False
L2_38_1_0410,False
L2_39_0_0410,False
L2_39_1_0410,False
L2_3_0_0404,False
L2_3_0_0412,False
L2_3_1_0514,False
L2_40_0_0409,True
L2_40_2_0404,True
L2_41_0_0410,True
L2_42_0_0404,False
L2_42_0_0409,False
L2_42_0_0412,False
L2_43_0_0409,False
L2_43_2_0404,False
L2_44_0_0409,False
L2_44_0_0412,False
L2_44_1_0514,False
L2_45_0_0409,False
L2_45_1_0404,False
L2_45_2_0404,False
L2_46_0_0404,True
L2_47_0_0410,True
L2_48_0_0404,False
L2_48_0_0409,False
L2_48_0_0412,False
L2_49_0_0410,False
L2_49_0_0412,False
L2_49_1_0410,False
L2_4_0_0410,True
L2_50_0_0410,True
L2_51_2_0404,True
L2_52_0_0409,False
L2_52_0_0412,False
L2_52_2_0404,False
L2_53_0_0409,False
L2_53_0_0412,False
L2_53_2_0404,False
L2_54_0_0409,False
L2_54_0_0412,False
L2_54_2_0404,False
L2_55_1_0404,True
L2_55_2_0404,True
L2_56_0_0410,False
L2_56_0_0412,False
L2_56_1_0410,False
L2_57_0_0410,False
L2_57_0_0412,True
L2_57_1_0410,False
L2_58_0_0410,False
L2_58_0_0412,False
L2_58_1_0410,False
L2_59_0_0410,True
L2_5_0_0404,True
L2_60_0_0409,False
L2_60_0_0412,False
L2_60_1_0404,False
L2_60_2_0404,False
L2_61_0_0410,False
L2_61_1_0410,False
L2_62_0_0410,False
L2_62_0_0412,False
L2_62_1_0410,False
L2_63_0_0410,False
L2_63_0_0412,False
L2_63_1_0410,False
L2_64_0_0409,False
L2_64_0_0412,False
L2_64_2_0404,False
L2_65_1_0404,True
L2_65_2_0404,True
L2_66_2_0404,True
L2_67_1_0404,True
L2_67_2_0404,True
L2_68_0_0409,True
L2_68_2_0404,False
L2_69_1_0521,True
L2_6_0_0404,False
L2_6_0_0412,False
L2_70_0_0410,True
L2_71_0_0409,False
L2_71_2_0404,False
L2_72_0_0410,True
L2_73_0_0409,False
L2_73_0_0412,False
L2_73_2_0404,False
L2_74_0_0410,True
L2_75_2_0404,True
L2_76_1_0514,True
L2_77_0_0410,False
L2_77_1_0410,False
L2_78_0_0409,False
L2_78_0_0412,False
L2_78_3_0404,False
L2_79_0_0410,True
L2_7_1_0410,False
L2_7_1_0521,False
L2_80_3_0404,True
L2_81_0_0412,False
L2_81_3_0404,False
L2_82_0_0410,True
L2_83_3_0404,True
L2_84_0_0410,False
L2_84_1_0410,False
L2_85_0_0410,False
L2_85_1_0410,False
L2_8_1_0404,False
L2_8_1_0521,False
L2_9_0_0409,False
L2_9_0_0412,False
L3_0_0_0404,False
L3_0_0_0409,False
L3_10_0_0409,False
L3_10_1_0521,False
L3_11_0_0410,False
L3_11_0_0505,False
L3_12_0_0410,False
L3_12_0_0505,False
L3_13_0_0410,False
L3_13_0_0505,False
L3_14_0_0404,True
L3_14_0_0505,False
L3_15_0_0404,False
L3_15_0_0409,False
L3_16_0_0404,False
L3_16_0_0409,False
L3_17_0_0521,False
L3_17_1_0521,False
L3_18_0_0410,False
L3_18_0_0505,False
L3_19_0_0410,False
L3_19_0_0505,False
L3_1_0_0410,False
L3_1_0_0505,False
L3_20_0_0410,False
L3_20_0_0505,False
L3_21_0_0410,False
L3_21_0_0505,False
L3_22_0_0404,False
L3_22_0_0409,False
L3_23_0_0404,False
L3_23_0_0409,False
L3_24_0_0521,False
L3_24_1_0521,False
L3_25_0_0505,False
L3_25_1_0514,False
L3_2_0_0410,False
L3_2_0_0505,False
L3_2_1_0514,False
L3_3_0_0521,False
L3_3_1_0521,False
L3_4_0_0404,False
L3_4_1_0521,True
L3_5_0_0521,False
L3_5_1_0521,False
L3_6_0_0410,False
L3_6_0_0505,False
L3_7_0_0404,True
L3_7_0_0505,True
L3_8_0_0410,False
L3_8_0_0505,False
L3_9_0_0404,False
L3_9_0_0409,False
