session_id,request_id,model_id,num_prefill_tokens,num_decode_tokens,num_cached_tokens,expected_prefix_hit,client_sent_wall,client_recv_wall,arrival,queued,scheduled,prefill_end,request_end,success
0,0,1,2751,403,0,0,1787560453.654671,1787560462.961188,1787560454.0194094,962798.988139908,962800.477621752,962800.673858935,962800.673858935,True
0,1,1,4063,112,0,3154,1787560464.6159637,1787560466.8008056,1787560464.725962,962809.695371027,962809.714111264,962809.734699672,962809.734699672,True
0,2,0,7622,322,0,0,1787560467.7069807,1787560474.24578,1787560468.246444,962813.216397687,962813.353730135,962813.375706833,962813.375706833,True
0,3,1,5424,846,0,4175,1787560474.2462733,1787560489.976096,1787560474.3602183,962819.32986824,962819.355177739,962819.375066783,962819.375066783,True
0,4,0,7314,17,0,44,1787560490.4880896,1787560491.4767992,1787560491.0053897,962835.975138293,962836.104156003,962836.126240321,962836.126240321,True
0,5,1,5786,223,0,5786,1787560491.4773862,1787560495.794602,1787560491.6306686,962836.602966391,962836.639768942,962836.676849335,962836.676849335,True
0,6,1,7021,361,0,6009,1787560497.4832163,1787560505.072867,1787560498.028683,962842.998144553,962843.306883191,962843.345193152,962843.345193152,True
0,7,0,7532,235,0,44,1787560505.772015,1787560510.8728757,1787560506.300033,962851.27272593,962851.451205152,962851.489219141,962851.489219141,True
0,8,1,7830,398,0,7382,1787560510.8737202,1787560518.6801395,1787560510.9529028,962855.930944296,962855.969548469,962856.00786524,962856.00786524,True
0,9,0,6406,8,0,45,1787560519.213076,1787560520.0452907,1787560519.7284164,962864.707339401,962864.842415962,962864.880331141,962864.880331141,True
0,10,1,8323,362,0,8228,1787560520.046043,1787560527.516807,1787560520.101474,962865.08486783,962865.123148081,962865.161280401,962865.161280401,True
0,11,1,10022,724,0,8685,1787560529.0913613,1787560544.1168778,1787560529.237251,962874.210520226,962874.259694357,962874.297934228,962874.297934228,True
0,12,1,10500,69,0,10500,1787560544.117965,1787560545.5226767,1787560544.1765072,962889.154490639,962889.192197717,962889.229764155,962889.229764155,True
1,1000,1,3309,314,0,0,1787560483.7565882,1787560489.8838398,1787560483.846149,962828.829366466,962828.873723044,962829.045255969,962829.045255969,True
1,1001,1,4634,216,0,3623,1787560491.4716196,1787560495.6208107,1787560491.5779033,962836.54686973,962836.583099747,962836.602928061,962836.602928061,True
1,1002,0,17704,392,0,0,1787560496.269312,1787560505.6087956,1787560497.79958,962842.772184824,962843.282540388,962843.306851291,962843.306851291,True
1,1003,1,5773,524,0,4850,1787560505.6094744,1787560515.635765,1787560505.7105026,962850.680727058,962850.718981968,962850.756143892,962850.756143892,True
1,1004,0,17719,418,0,44,1787560516.1560538,1787560526.1783311,1787560517.5466647,962862.52119038,962862.846999512,962862.885200453,962862.885200453,True
1,1005,1,6843,421,0,6297,1787560526.179287,1787560534.9331322,1787560526.2787914,962871.254138388,962871.293035523,962871.330151387,962871.330151387,True
1,1006,1,7970,70,0,7264,1787560534.9338872,1787560536.436828,1787560535.03765,962880.009847932,962880.048297455,962880.086185875,962880.086185875,True
2,2000,1,3910,712,0,0,1787560496.9256082,1787560511.6458037,1787560498.0053186,962842.973957331,962843.282540388,962843.306851291,962843.306851291,True
2,2001,1,5199,286,0,4622,1787560513.3762782,1787560519.1094892,1787560513.4852505,962858.462088644,962858.500603267,962858.538578266,962858.538578266,True
2,2002,0,6324,63,0,0,1787560521.0471704,1787560522.831977,1787560521.490953,962866.4672386,962866.605943544,962866.643985264,962866.643985264,True
2,2003,1,5505,113,0,5485,1787560522.8326764,1787560525.039038,1787560522.8736832,962867.853203315,962867.890940843,962867.928945923,962867.928945923,True
2,2004,0,7259,48,0,44,1787560526.5732698,1787560528.2756257,1787560527.1884308,962872.167461408,962872.330112624,962872.36757941,962872.36757941,True
2,2005,1,6051,370,0,5618,1787560528.276248,1787560535.8730586,1787560528.334284,962873.315741381,962873.353690141,962873.391467689,962873.391467689,True
2,2006,0,12736,52,0,56,1787560537.001367,1787560539.3308885,1787560537.9518795,962882.935498151,962883.314388915,962883.352530016,962883.352530016,True
2,2007,1,7200,966,0,6421,1787560539.331576,1787560558.1156,1787560539.4355671,962884.40876034,962884.469364163,962884.506511208,962884.506511208,True
2,2008,0,6093,43,0,56,1787560559.212503,1787560560.6060913,1787560559.6394055,962904.619031598,962904.751261426,962904.789557349,962904.789557349,True
2,2009,1,7514,140,0,7514,1787560560.6068738,1787560568.176289,1787560564.8969078,962909.879330778,962910.483898483,962910.572212273,962910.572212273,True
2,2010,0,6111,50,0,46,1787560568.7068353,1787560570.3497066,1787560569.129799,962914.112306343,962914.291365809,962914.342532484,962914.342532484,True
2,2011,1,7857,161,0,7654,1787560570.3504238,1787560582.2787108,1787560577.2433074,962922.21459603,962922.250945491,962923.085317642,962923.085317642,True
2,2012,0,2180,48,0,44,1787560583.7956762,1787560584.955347,1787560583.947204,962928.927550168,962929.012575329,962929.050701922,962929.050701922,True
2,2013,1,8173,142,0,8018,1787560584.9560876,1787560594.5603244,1787560590.511574,962935.787384261,962936.304661093,962936.347275175,962936.347275175,True
2,2014,1,9207,105,0,8315,1787560596.1343277,1787560598.6697192,1787560596.54658,962941.600085222,962941.666954388,962941.697410592,962941.697410592,True
2,2015,0,33750,149,0,44,1787560599.3826518,1787560606.9519837,1787560602.5946374,962947.575268468,962948.548660653,962948.587577002,962948.587577002,True
2,2016,1,9823,314,0,9312,1787560606.9529374,1787560620.231627,1787560613.000862,962958.981249072,962959.387466086,962959.431871339,962959.431871339,True
2,2017,0,9604,106,0,44,1787560662.394597,1787560669.1751902,1787560666.9133525,963011.885438767,963012.180112751,963012.215039615,963012.215039615,True
2,2018,1,10250,182,0,10137,1787560669.1764894,1787560681.8539245,1787560676.1734233,963022.250464001,963023.082661784,963023.128100166,963023.128100166,True
2,2019,0,2007,59,0,44,1787560683.0885203,1787560691.2288444,1787560687.804681,963033.84201374,963034.534962403,963034.833348625,963034.833348625,True
2,2020,1,11208,770,0,10432,1787560691.2298613,1787560720.7248003,1787560701.289488,963046.82228979,963047.526020429,963047.570268994,963047.570268994,True
2,2021,0,2101,63,0,49,1787560721.8780012,1787560724.5748792,1787560723.0367424,963068.008997327,963068.097819102,963068.137139046,963068.137139046,True
2,2022,1,11522,121,0,11522,1787560724.5759623,1787560736.4134252,1787560731.9711795,963076.945620958,963076.995023677,963078.847798535,963078.847798535,True
2,2023,0,7310,105,0,44,1787560736.9571712,1787560755.2978976,1787560752.9902172,963097.993028907,963098.225186802,963098.279780176,963098.279780176,True
2,2024,1,11912,145,0,11643,1787560755.299007,1787560762.2571473,1787560758.7065542,963103.92135504,963104.301467816,963104.343086186,963104.343086186,True
2,2025,0,7248,30,0,46,1787560762.8050158,1787560778.6648395,1787560777.676928,963122.653898225,963122.907148831,963122.972501475,963122.972501475,True
2,2026,1,13276,1208,0,12057,1787560778.666072,1787560805.5197475,1787560778.8680184,963123.842113907,963123.889050591,963123.929851587,963123.929851587,True
2,2027,1,15242,1199,0,14484,1787560807.113888,1787560854.4145894,1787560825.758336,963170.739841457,963170.797543943,963170.839398407,963170.839398407,True
2,2028,1,16663,551,0,16441,1787560855.913012,1787560901.5343554,1787560888.804166,963233.776499122,963233.812134556,963233.849911133,963233.849911133,True
2,2029,1,17589,112,0,17214,1787560903.115455,1787560921.0749717,1787560917.277259,963263.489050841,963263.946702248,963263.986824682,963263.986824682,True
2,2030,0,7815,16,0,46,1787560922.4402723,1787560936.1915574,1787560935.5037673,963280.48753233,963280.74745273,963280.805107859,963280.805107859,True
2,2031,1,17840,112,0,17701,1787560936.1931503,1787560940.188794,1787560937.4606864,963282.450650734,963283.002716216,963283.040399744,963283.040399744,True
2,2032,0,7850,53,0,48,1787560941.3066342,1787560963.4136975,1787560961.9156506,963306.889146502,963307.169695481,963307.198981414,963307.198981414,True
2,2033,1,18971,952,0,17952,1787560963.4153686,1787560995.7460856,1787560973.2230518,963319.315042847,963319.926605089,963319.978099289,963319.978099289,True
2,2034,0,12739,53,0,53,1787560996.317815,1787561019.9925268,1787561018.3391178,963363.3123439,963363.741373836,963363.771497895,963363.771497895,True
2,2035,1,19410,255,0,19410,1787561019.994495,1787561027.046282,1787561021.9322734,963366.914865097,963366.964942059,963367.005220565,963367.005220565,True
2,2036,0,12867,185,0,44,1787561027.616696,1787561046.9121008,1787561043.0062454,963387.991180008,963388.447263027,963388.486375016,963388.486375016,True
2,2037,1,18918,135,0,3914,1787561046.9132893,1787561068.4601765,1787561064.5900896,963409.564213256,963410.069863467,963410.11414544,963410.11414544,True
2,2038,1,20072,70,0,4217,1787561070.070551,1787561091.587174,1787561089.713476,963434.690696576,963435.215924852,963435.264073021,963435.264073021,True
3,3000,1,2692,338,0,0,1787560506.0552528,1787560512.805497,1787560506.3526382,962851.411762484,962851.451205152,962851.489219141,962851.489219141,True
3,3001,1,4026,344,0,3030,1787560515.1015224,1787560522.069521,1787560515.2076318,962860.189222316,962860.228358823,962860.266808265,962860.266808265,True
3,3002,1,5271,122,0,4370,1787560523.840909,1787560528.3131263,1787560525.36244,962870.338564024,962870.807885684,962870.84699365,962870.84699365,True
3,3003,1,6569,174,0,5393,1787560530.8510828,1787560534.8031251,1787560530.9629617,962875.933616729,962875.979830461,962876.0176654,962876.0176654,True
3,3004,1,7869,172,0,6743,1787560536.3438244,1787560540.0530653,1787560536.4592285,962881.437007215,962881.477774323,962881.515476722,962881.515476722,True
3,3005,0,7359,124,0,0,1787560541.026296,1787560544.6150804,1787560542.0952177,962887.068834482,962887.235158454,962887.27251048,962887.27251048,True
3,3006,1,8347,204,0,8041,1787560544.6158278,1787560548.5480306,1787560544.675248,962889.654780303,962889.693218975,962889.730547812,962889.730547812,True
3,3007,0,367,53,0,124,1787560549.2107117,1787560550.2951915,1787560549.2408793,962894.221611713,962894.258547806,962894.295090187,962894.295090187,True
3,3008,1,8645,97,0,8551,1787560550.2959597,1787560552.2688394,1787560550.3397284,962895.316779663,962895.354522672,962895.392654914,962895.392654914,True
3,3009,1,9826,278,0,8742,1787560554.9731617,1787560560.624519,1787560555.276929,962900.251458137,962900.311334346,962900.349030345,962900.349030345,True
3,3010,0,297,54,0,44,1787560561.250022,1787560566.6266255,1787560564.8946612,962909.879319838,962910.572246923,962910.611046659,962910.611046659,True
3,3011,1,10110,97,0,10104,1787560566.6274538,1787560568.5288403,1787560566.6691692,962911.647547724,962911.685146393,962911.722731361,962911.722731361,True
3,3012,1,11555,364,0,10207,1787560570.0239737,1787560576.9566364,1787560570.159717,962915.138035703,962915.202633023,962915.240605374,962915.240605374,True
3,3013,0,7561,110,0,44,1787560581.1704056,1787560583.9252057,1787560581.7004738,962926.676068924,962926.844672245,962926.881977953,962926.881977953,True
3,3014,1,12133,307,0,11919,1787560583.9261634,1787560591.1294036,1787560584.0366364,962929.012571729,962929.050733682,962929.08825587,962929.08825587,True
3,3015,0,20726,142,0,126,1787560592.1990623,1787560597.282724,1787560593.885435,962938.863585194,962939.46908118,962939.544676742,962939.544676742,True
3,3016,1,12515,75,0,12440,1787560597.2838924,1787560598.7974436,1787560597.3400507,962942.321965211,962942.360024773,962942.398254786,962942.398254786,True
3,3017,1,13000,69,0,12590,1787560598.7985618,1787560600.1887808,1787560598.860207,962943.835547104,962943.872867321,962943.91030349,962943.91030349,True
4,4000,1,2898,518,0,0,1787560507.7525578,1787560517.5186791,1787560507.8116035,962852.784241874,962852.822459534,962852.86007997,962852.86007997,True
4,4001,1,4042,184,0,3416,1787560519.1876743,1787560522.9445512,1787560519.2812676,962864.260528216,962864.317726466,962864.355083322,962864.355083322,True
4,4002,0,20570,24,0,0,1787560523.6121993,1787560526.3079138,1787560525.3639493,962870.338569474,962870.807885684,962870.84699365,962870.84699365,True
4,4003,1,4425,228,0,4226,1787560526.308459,1787560531.2028878,1787560526.6347222,962871.605636235,962871.778187143,962871.815673489,962871.815673489,True
4,4004,0,20852,308,0,46,1787560531.7243774,1787560540.2796073,1787560533.5522077,962878.531447918,962879.150801998,962879.190089246,962879.190089246,True
4,4005,1,5146,267,0,4653,1787560540.2803197,1787560545.8029237,1787560540.3472185,962885.318996162,962885.357463035,962885.395228514,962885.395228514,True
4,4006,1,6277,170,0,5413,1787560547.627754,1787560550.9738004,1787560547.7285082,962892.703678148,962892.746318338,962892.784211257,962892.784211257,True
4,4007,1,7558,131,0,6447,1787560552.620909,1787560555.3463109,1787560552.734578,962897.72218215,962897.763110889,962897.801451072,962897.801451072,True
4,4008,1,8674,153,0,7689,1787560556.9217477,1787560560.0466516,1787560557.0286822,962902.012628513,962902.076213276,962902.114481398,962902.114481398,True
4,4009,0,20567,23,0,44,1787560560.5674338,1787560566.0479145,1787560564.8953302,962909.879325498,962910.572246923,962910.611046659,962910.611046659,True
4,4010,1,9002,175,0,8827,1787560566.0488153,1787560569.5245564,1787560566.094354,962911.066960451,962911.104542229,962911.141647955,962911.141647955,True
4,4011,0,59690,679,0,45,1787560570.0560708,1787560593.881816,1787560577.2460232,962922.230575642,962924.108348713,962924.149222363,962924.149222363,True
4,4012,1,10456,505,0,9177,1787560593.883835,1787560605.461535,1787560594.0583372,962939.335172048,962939.46908118,962939.544676742,962939.544676742,True
4,4013,0,59095,72,0,44,1787560606.0019968,1787560615.7833366,1787560612.8089137,962957.796873761,962959.387466086,962959.431871339,962959.431871339,True
4,4014,1,10909,251,0,10909,1787560615.7850046,1787560620.529005,1787560615.845801,962960.820874458,962960.857913154,962960.895570935,962960.895570935,True
4,4015,1,12172,129,0,11160,1787560622.2099493,1787560625.0946944,1787560622.6212106,962967.59288939,962967.632940806,962967.672156927,962967.672156927,True
4,4016,0,23366,25,0,44,1787560626.974619,1787560629.9380922,1787560628.986176,962973.960695334,962974.41822364,962974.457013228,962974.457013228,True
4,4017,1,12582,247,0,12301,1787560629.9394069,1787560635.3675184,1787560630.0022671,962974.981473173,962975.018844642,962975.056611633,962975.056611633,True
4,4018,0,23498,161,0,44,1787560637.0633652,1787560651.580449,1787560647.6224816,962992.600125299,962993.365648187,962993.441238241,962993.441238241,True
4,4019,1,13671,779,0,12829,1787560651.5822802,1787560668.5321562,1787560651.7016172,962996.674174422,962996.731369588,962996.771005023,962996.771005023,True
4,4020,0,59361,345,0,46,1787560669.0726972,1787560684.876585,1787560675.9680316,963020.963938046,963023.082661784,963023.128100166,963023.128100166,True
4,4021,1,14316,164,0,14316,1787560684.8783016,1787560696.5575175,1787560692.3332195,963037.318793617,963037.972814831,963038.004481455,963038.004481455,True
4,4022,0,59078,64,0,44,1787560697.0912614,1787560713.177781,1787560709.514015,963054.509888982,963056.222327417,963056.536305934,963056.536305934,True
4,4023,1,14664,150,0,14480,1787560713.1797972,1787560718.9649189,1787560715.6699655,963060.721864202,963060.813925097,963060.853914065,963060.853914065,True
4,4024,1,15136,132,0,14814,1787560720.4984224,1787560725.4779687,1787560722.4020011,963067.379136076,963067.542904505,963067.581809226,963067.581809226,True
4,4025,1,16425,143,0,15268,1787560727.4229825,1787560751.8862913,1787560746.497013,963092.73062758,963093.3325246,963093.368148471,963093.368148471,True
4,4026,1,17580,106,0,16568,1787560753.7741416,1787560761.5347204,1787560758.0600393,963103.043211745,963104.301467816,963104.343086186,963104.343086186,True
4,4027,0,26141,106,0,44,1787560762.2946467,1787560780.2347505,1787560776.85775,963121.83263926,963122.639848284,963122.670689954,963122.670689954,True
4,4028,1,17952,138,0,17686,1787560780.23763,1787560783.081926,1787560780.296475,963125.271877679,963125.309589554,963125.347635901,963125.347635901,True
4,4029,1,19120,147,0,18090,1787560784.7647836,1787560789.9647596,1787560786.3281398,963131.405590534,963131.692991803,963131.735219058,963131.735219058,True
